Time,Home Value,Equity,HEP Expectation
1,628489.4445,196127.1995,222914.0986
2,629020.5303,196658.2853,223337.5143
3,629464.9169,197102.6719,223691.8078
4,628123.7326,195761.4876,222622.5296
5,627721.8545,195359.6095,222302.1266
6,627950.9673,195588.7223,222484.79
7,630064.1004,197701.8554,224169.5154
8,630151.0989,197788.8539,224238.8762
9,629130.6191,196768.3741,223425.2841
10,628100.0906,195737.8456,222603.6807
11,626250.756,193888.511,221129.2725
12,626854.8624,194492.6174,221610.9049
13,626822.7246,194460.4795,221585.2825
14,627254.473,194892.228,221929.5001
15,626246.1384,193883.8934,221125.5911
16,626453.0306,194090.7856,221290.5388
17,624843.3878,192481.1428,220007.2283
18,625442.3811,193080.1361,220484.7841
19,626344.4163,193982.1713,221203.9445
20,626360.8716,193998.6266,221217.0637
21,624562.0634,192199.8184,219782.9384
22,622551.222,190188.977,218179.7666
23,623696.3165,191334.0715,219092.7094
24,622441.9755,190079.7305,218092.6683
25,621082.8433,188720.5983,217009.0809
26,620048.8374,187686.5924,216184.7051
27,620527.0668,188164.8218,216565.9802
28,620026.1424,187663.8974,216166.6112
29,618223.9416,185861.6966,214729.7811
30,619662.4947,187300.2497,215876.6879
60,625158.8247,192796.5797,220258.7148
90,611947.0788,179584.8338,209725.4633
120,610983.4701,178621.2251,208957.2126
150,595278.8398,162916.5948,196436.4737
180,597765.2437,165402.9987,198418.7944
